Название;Производитель;Категория;Розничная цена;Оптовая цена;Плотность (г/м2);Мартиндейл (циклы);Свойства;Тип ткани;Ссылка на товар
ALOVA;Davis;C (Basic);2.65;1.85;2180;90000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/alova/
ADVENTURE (2025);Davis;C (Basic);5.39;4.59;2400;70000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/adventure-2/
ARAGON (WR);Davis;C (Basic);3.89;3.09;2340;45000;;Шенилл;https://www.davis.pl/en/collection/aragon-2/
AULLA;Davis;C (Basic);5.39;4.59;2260;25000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/aulla-2/
BARELL (EC);Davis;C (Basic);3.09;2.29;320;50000;;Рогожка / Универсальная;
BERGAMO;Davis;C (Basic);4.24;3.44;2300;140000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/bergamo/
BERLIN NEW;Davis;C (Basic);3.93;3.13;2315;35000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка;https://www.davis.pl/en/collection/berlin-new/
CANYON;Davis;C (Basic);4.77;3.97;2270;50000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/canyon/
CASTEL (EC);Davis;C (Basic);4.24;3.44;2350;45000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/castel-2/
CITY;Davis;B (Business);6.26;5.46;2430;110000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/city/
CLOUD (EC);Davis;B (Business)**;5.16;4.36;2390;90000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;https://www.davis.pl/en/collection/cloud-3/
COCO;Davis;B (Business);7.69;6.89;2790;80000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Букле;https://www.davis.pl/en/collection/coco/
CORTO (2026);Davis;C (Basic);4.12;3.32;2360;100000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/corto-2/
CURIO (WR);Davis;C (Basic);3.55;2.75;280;60000;;Рогожка / Универсальная;
CREMONA (2024);Davis;C (Basic);4.79;3.99;465;70000;;Рогожка / Универсальная;
DIOSA (EC);Davis;C (Basic);5.39;4.59;2350;60000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/diosa-3/
DOT LN;Davis;C (Basic);4.78;3.98;2310;90000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Шенилл;https://www.davis.pl/en/collection/dot-ln/
ELEGANT WISH;Davis;C (Basic);5.73;4.93;2480;140000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/elegant-wish/
ETNA LN;Davis;C (Basic);3.66;2.86;330;100000;Высокая износостойкость;Рогожка / Универсальная;
FANCY (WR);Davis;C (Basic);4.24;3.44;260;100000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;
GAVA (WR, RPES);Davis;C (Basic);5.39;4.59;420;50000;;Рогожка / Универсальная;
GEMMA (WR);Davis;C (Basic);4.24;3.44;2340;60000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/gemma-3/
GOBI;Davis;C (Basic);4.47;3.67;2220;40000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка;https://www.davis.pl/en/collection/gobi/
GRACE (EC RPES);Davis;B (Business);7.99;7.19;2600;90000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/grace-2/
GRANDE (EC);Davis;B (Business);5.96;5.16;310;45000;;Рогожка / Универсальная;
HYGGE;Davis;C (Basic);3.43;2.63;2280;90000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/hygge/
INARI;Davis;C (Basic);3.66;2.86;2260;45000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка;https://www.davis.pl/en/collection/inari/
JASMINE;Davis;C (Basic);4.3;3.5;2250;90000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Велюр / Микровелюр;https://www.davis.pl/en/collection/jasmine/
LANDSCAPE WR;Davis;C (Basic);4.81;4.01;2370;25000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/landscape-2/
LARS;Davis;C (Basic);3.09;2.29;2240;300000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/lars/
LETTO (EC);Davis;B (Business)**;5.0;4.2;2380;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/letto-3/
LINCOLN;Davis;C (Basic);4.58;3.78;2330;90000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/lincoln/
LORIS;Davis;B (Business);5.96;5.16;2430;40000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Шенилл;https://www.davis.pl/en/collection/loris/
LUKKA (WR);Davis;C (Basic);4.01;3.21;320;60000;;Рогожка / Универсальная;
LUIS (WR);Davis;C (Basic);4.24;3.44;2350;20000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/luis-2/
MADRYT 0,9 mm;Davis;C (Basic);4.7;3.9;400;100000;Высокая износостойкость;Экокожа;
LUMI (2026);Davis;C (Basic);3.78;2.98;2340;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/lumi-2/
MALMONEW;Davis;C (Basic);2.93;2.13;220;30000;;Рогожка / Универсальная;
MATTVELVET (WR);Davis;C (Basic);5.16;4.36;430;130000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;
MELVA (WR);Davis;C (Basic);4.47;3.67;280;50000;;Рогожка / Универсальная;
MOLY (WR);Davis;C (Basic);4.93;4.13;2380;80000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/moly-2/
MONOLITH (WR);Davis;C (Basic);3.89;3.09;330;100000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;
MOSSA (2024);Davis;C (Basic);3.53;2.73;325;140000;Высокая износостойкость;Рогожка / Универсальная;
MONTE (2026);Davis;C (Basic);3.89;3.09;2380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/monte-2/
MIKA (2026);Davis;B (Business);6.09;5.29;2420;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/mika-2/
MISTERIO (2025);Davis;C (Basic);4.24;3.44;2410;25000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/misterio-2/
NEVE;Davis;C (Basic);3.32;2.52;2305;100000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Букле;https://www.davis.pl/en/collection/neve/
NOW OR NEVER;Davis;B (Business);7.11;6.31;2420;90000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Букле;https://www.davis.pl/en/collection/now-or-never/
NUBE (EC) (2024);Davis;C (Basic);4.79;3.99;350;100000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;
OPIUM (2024);Davis;C (Basic);3.09;2.29;320;35000;;Рогожка / Универсальная;
ORINOCO;Davis;C (Basic);4.24;3.44;2210;60000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/rino-2/
OVER THE HORIZON;Davis;B (Business);6.54;5.74;2430;30000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/over-the-horizon/
PERFECT HARMONY;Davis;C (Basic);5.39;4.59;2410;45000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/perfect-harmony/
PICO (2025);Davis;B (Business);6.09;5.29;2320;40000;;Трикотаж;https://www.davis.pl/en/collection/pico-outdoor/
POINT (WR);Davis;C (Basic);4.08;3.28;2355;45000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/point-2/
PORTLAND;Davis;C (Basic);3.66;2.86;2290;25000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/portland/
POSITANO;Davis;C (Basic);5.27;4.47;2380;18000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/positano/
PUENTE (2024);Davis;C (Basic);5.39;4.59;420;60000;;Рогожка / Универсальная;
PRESTON;Davis;C (Basic);4.81;4.01;2330;65000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/preston/
PRIMO (WR);Davis;C (Basic);4.03;3.23;340;60000;;Рогожка / Универсальная;
QUELLE (2024);Davis;C (Basic);3.78;2.98;315;90000;Высокая износостойкость;Рогожка / Универсальная;
RETRO BLISS;Davis;C (Basic);4.81;4.01;2310;30000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/retro-bliss/
RINO (WR);Davis;C (Basic);2.97;2.17;2210;60000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/rino-2/
RIVIERA;Davis;C (Basic);3.89;3.09;300;100000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер, Высокая износостойкость;Велюр / Микровелюр;https://www.davis.pl/en/collection/riviera/
RUN AGAIN;Davis;C (Basic);4.24;3.44;330;45000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/runo-2/
RUNO (2026);Davis;C (Basic);4.7;3.9;350;60000;;Рогожка;https://www.davis.pl/en/collection/runo-2/
SAND (2025);Davis;C (Basic);3.32;2.52;300;50000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/sand-2/
SAWANA LN;Davis;C (Basic);2.93;2.13;245;100000;Высокая износостойкость;Рогожка / Универсальная;
SCALA (WR);Davis;C (Basic);3.89;3.09;260;80000;Высокая износостойкость;Рогожка / Универсальная;
SOLAR (EC PF);Davis;C (Basic);5.39;4.59;370;80000;Высокая износостойкость;Рогожка / Универсальная;
SOLID (WR);Davis;C (Basic);4.7;3.9;300;140000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/solid/
SOMETIMES;Davis;B (Business);5.96;5.16;380;70000;Антикоготь, Водоотталкивание, Легкая чистка, Переработанный полиэстер;Рогожка / Универсальная;https://www.davis.pl/en/collection/sometimes/
SORO;Davis;C (Basic);3.32;2.52;270;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/soro/
SORELLA (2024);Davis;C (Basic);3.66;2.86;330;60000;;Рогожка / Универсальная;
SILENCIO (2025);Davis;B (Business);6.54;5.74;580;160000;Высокая износостойкость;Шенилл;https://www.davis.pl/en/collection/silencio-2/
SUNLIGHT (2025);Davis;C (Basic);3.85;3.05;340;50000;;Уличная ткань;https://www.davis.pl/en/collection/sunlight-outdoor/
STORM (EC);Davis;C (Basic);5.39;4.59;350;60000;Легкая чистка;Велюр / Микровелюр;https://www.davis.pl/en/collection/storm-2/
TENDER WAY;Davis;B (Business);6.54;5.74;470;90000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/tender-way/
TERRA;Davis;C (Basic);4.58;3.78;330;100000;Высокая износостойкость;Шенилл;https://www.davis.pl/en/collection/terra-2/
TEXAS;Davis;C (Basic);5.62;4.82;480;70000;;Экокожа;https://www.davis.pl/en/collection/texas/
TILIA;Davis;C (Basic);5.16;4.36;420;100000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;https://www.davis.pl/en/collection/tilia/
VEGA;Davis;B (Business);5.96;5.16;330;55000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/vega/
VERITA (2024);Davis;C (Basic);2.97;2.17;330;35000;;Рогожка / Универсальная;
VIBE (2026);Davis;C (Basic);3.66;2.86;420;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.davis.pl/en/collection/vibe-2/
WIND (2024);Davis;C (Basic);3.66;2.86;350;70000;;Рогожка / Универсальная;
EMOJI;Litena;A (Premium);14.9;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
SKIN;Litena;B (Business);10.75;;725;300000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/skin-01/
PLATINUM;Litena;B (Business);9.6;;249;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/platinum-01/
IMPERIA;Litena;B (Business);9.9;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/imperia-01/
RAVENA;Litena;B (Business);9.9;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/ravena-01/
CONTEMPO;Litena;B (Business);9.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ARUBA;Litena;B (Business);9.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
RIO;Litena;B (Business);9.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
PANDORA;Litena;B (Business);9.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
FIRENZE;Litena;B (Business);8.4;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/firenze-01/
OUTDOOR;Litena;B (Business);8.25;;380;60000;Водоотталкивание, Защита от УФ;Уличная ткань;https://www.litena.lt/product/outdoor-01/
VERMONT;Litena;B (Business);7.95;;600;200000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/vermont-01/
URBAN;Litena;B (Business);7.8;;350;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/urban-01/
KANZAS;Litena;B (Business);7.75;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/kanzas-01/
OPERA;Litena;B (Business);7.7;;400;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/opera-01/
EVEREST;Litena;B (Business);7.7;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/everest-01/
BERGAMO;Litena;B (Business);7.45;;330;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/bergamo-01/
BERGEN;Litena;B (Business);7.4;;410;70000;;Рогожка / Универсальная;https://www.litena.lt/product/bergen-01/
RETRO;Litena;B (Business);7.3;;440;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/retro-01/
RIVA;Litena;B (Business);7.3;;440;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/riva-01/
SUEDE;Litena;B (Business);7.35;;365;100000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;https://www.litena.lt/product/suede-01/
DOVER;Litena;B (Business);7.2;;320;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/dover-01/
PORTO;Litena;B (Business);6.2;;380;80000;Высокая износостойкость;Рогожка;https://www.litena.lt/product/porto-01/
AVANTI;Litena;B (Business);6.2;;460;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/avanti-01/
LANSON;Litena;B (Business);6.2;;400;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/lanson-01/
AVALON;Litena;B (Business);6.15;;720;100000;Высокая износостойкость;Рогожка / Универсальная;
CONTI;Litena;B (Business);6.8;;500;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/conti-01/
ALVARO;Litena;B (Business);6.7;;390;100000;Высокая износостойкость;Шенилл;https://www.litena.lt/product/alvaro-01/
LEON;Litena;B (Business);6.7;;425;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/leon-01/
BILBAO;Litena;B (Business);6.6;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/bilbao-01/
LEVANTE;Litena;B (Business);6.6;;410;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/levante-01/
RENES;Litena;B (Business);6.6;;470;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/renes-01/
OXFORD;Litena;B (Business);6.6;;450;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/oxford-01/
AMBER;Litena;B (Business);6.3;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/amber-01/
NORD;Litena;B (Business);6.3;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/nord-01/
RAMADA;Litena;B (Business);6.3;;470;100000;Высокая износостойкость;Рогожка / Универсальная;
REIMS;Litena;B (Business);6.3;;470;100000;Высокая износостойкость;Рогожка / Универсальная;
ROMANO;Litena;B (Business);6.3;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
DINO;Litena;B (Business);6.2;;380;80000;Высокая износостойкость;Шенилл;
MONO;Litena;C (Basic);5.6;;380;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/mono-01/
VELVET;Litena;C (Basic);5.8;;420;100000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;https://www.litena.lt/product/velvet-01/
VELVET 2;Litena;C (Basic);5.8;;420;100000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;https://www.litena.lt/product/velvet-01/
BOHO;Litena;C (Basic);5.8;;400;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/boho-01/
LOFT;Litena;C (Basic);5.8;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/loft-01/
DAVOS;Litena;C (Basic);5.55;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
AVELINO;Litena;C (Basic);5.45;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/avelino-01/
MONZA;Litena;C (Basic);5.45;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
BISON;Litena;C (Basic);5.4;;380;80000;Высокая износостойкость;Рогожка;https://www.litena.lt/product/bison-01/
ATLANTIS;Litena;C (Basic);4.2;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/atlantis-01/
PALERMO;Litena;C (Basic);5.0;;380;80000;Высокая износостойкость;Шенилл;
EKO MADRID;Litena;C (Basic);5.0;;380;80000;Высокая износостойкость;Экокожа;
PARIS;Litena;C (Basic);5.0;;380;80000;Высокая износостойкость;Рогожка;
PATRIC;Litena;C (Basic);5.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
PERLA;Litena;C (Basic);5.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
DELGADO;Litena;C (Basic);4.95;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/delgado-01/
OLYMPUS;Litena;C (Basic);4.9;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/olympus-01/
MAESTRO;Litena;C (Basic);4.7;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/maestro-01/
MANGO;Litena;C (Basic);4.7;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/mango-01/
PARMA;Litena;C (Basic);4.6;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/parma-01/
AMORE;Litena;C (Basic);4.5;;380;80000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;
ALPINE;Litena;C (Basic);4.4;;600;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.litena.lt/product/alpine-01/
SOLO;Litena;C (Basic);4.3;;380;80000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;
COMO;Litena;B (Business);8.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
NAPA;Litena;B (Business);7.4;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
NEPAL;Litena;B (Business);7.4;;380;80000;Высокая износостойкость;Рогожка;
NIDA;Litena;B (Business);7.4;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
NOBU;Litena;B (Business);7.4;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
NOLA;Litena;B (Business);7.4;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
RIMINI;Litena;B (Business);6.5;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
MILANO-21;Litena;B (Business);9.0;;380;80000;Высокая износостойкость;Рогожка;
MILANO-44-45;Litena;B (Business);6.5;;380;80000;Высокая износостойкость;Рогожка;
MILANO-58;Litena;B (Business);8.8;;380;80000;Высокая износостойкость;Рогожка;
MILANO-60;Litena;B (Business);8.0;;380;80000;Высокая износостойкость;Рогожка;
MILANO-62;Litena;B (Business);8.3;;380;80000;Высокая износостойкость;Рогожка;
MILANO-86;Litena;B (Business);8.4;;380;80000;Высокая износостойкость;Рогожка;
MILANO-93;Litena;B (Business);8.8;;380;80000;Высокая износостойкость;Рогожка;
MILANO-94;Litena;B (Business);8.8;;380;80000;Высокая износостойкость;Рогожка;
MILANO-96;Litena;B (Business);8.5;;380;80000;Высокая износостойкость;Рогожка;
MILANO-97;Litena;B (Business);9.2;;380;80000;Высокая износостойкость;Рогожка;
MILANO-98;Litena;B (Business);6.8;;380;80000;Высокая износостойкость;Рогожка;
ALBA;Litena;C (Basic);4.8;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ALDO;Litena;B (Business);6.0;;380;80000;Высокая износостойкость;Трикотаж;
AMADEO;Litena;B (Business);6.8;;380;80000;Высокая износостойкость;Шенилл;
AMIGO;Litena;B (Business);7.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ANGORA;Litena;C (Basic);5.9;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ASPEN;Litena;C (Basic);5.2;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
BELISIMO;Litena;B (Business);10.0;;380;80000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;
BERLIN;Litena;B (Business);7.2;;380;80000;Высокая износостойкость;Рогожка;
BERMUDA;Litena;B (Business);8.7;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
BONA;Litena;C (Basic);5.9;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
BORMIO;Litena;B (Business);6.3;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
BOSTON;Litena;B (Business);7.0;;380;80000;Высокая износостойкость;Рогожка;
BRUNO;Litena;C (Basic);5.9;;380;80000;Высокая износостойкость;Рогожка;
DALI;Litena;B (Business);8.2;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
DOMO;Litena;B (Business);7.3;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
DUBLIN;Litena;B (Business);6.8;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
HIT;Litena;B (Business);6.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
LIDO;Litena;B (Business);6.2;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
LIMA;Litena;B (Business);9.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
LIVORNO;Litena;C (Basic);5.9;;380;80000;Высокая износостойкость;Шенилл;
LORENZO;Litena;B (Business);6.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
LUGANO;Litena;B (Business);6.5;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
MIRABEL;Litena;B (Business);7.7;;380;80000;Высокая износостойкость;Шенилл;
MISONI;Litena;B (Business);6.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
MODENA;Litena;B (Business);8.3;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
PANAMA;Litena;C (Basic);5.4;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
PEDRO;Litena;B (Business);7.5;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
PROVANCE;Litena;B (Business);7.5;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
POLO;Litena;C (Basic);5.7;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
PORTOFINO;Litena;B (Business);8.6;;380;80000;Высокая износостойкость;Рогожка;
PUNTO;Litena;B (Business);6.3;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
SANREMO;Litena;B (Business);6.1;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
SANTORI;Litena;B (Business);6.5;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
SOHO;Litena;B (Business);7.8;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
VERSAL;Litena;B (Business);10.3;;380;80000;Высокая износостойкость;Шенилл;
VIENA;Litena;B (Business);7.2;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ALMERA;Litena;B (Business);6.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ALMERA 2;Litena;B (Business);7.7;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ALABAMA;Litena;B (Business);6.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ALIKANTE;Litena;B (Business);7.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ASTON;Litena;B (Business);7.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
BARI;Litena;B (Business);8.2;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
BUFALO;Litena;B (Business);9.5;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
FLORIDA;Litena;B (Business);7.0;;380;80000;Высокая износостойкость;Экокожа;
MADEIRA;Litena;B (Business);9.8;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
MATADOR;Litena;C (Basic);5.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
MONTANA;Litena;C (Basic);4.0;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
TORO;Litena;B (Business);6.5;;380;80000;Высокая износостойкость;Рогожка / Универсальная;
ANDRE;Toptextil;B (Business);7.34;;300;30000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/andre/
ATOS;Toptextil;B (Business);8.31;;540;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/atos/
AURORA;Toptextil;C (Basic);5.54;;320;50000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/aurora/
BALOO (Boucle);Toptextil;A (Premium);17.48;;570;100000;Высокая износостойкость;Букле;
BARCELONA;Toptextil;B (Business);6.93;;390;8000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/barcelona/
BIZON;Toptextil;B (Business);9.98;;310;25000;;Рогожка;https://www.toptextil.pl/en/collection/bizon/
BOMBAJ;Toptextil;C (Basic);4.15;;360;12000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/bombaj/
BONITA;Toptextil;C (Basic);4.7;;370;60000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/bonita/
BRAID;Toptextil;C (Basic);4.01;;320;100000;Высокая износостойкость;Рогожка;https://www.toptextil.pl/en/collection/braid/
BRISTOL;Toptextil;A (Premium);18.04;;260;90000;Антикоготь, Высокая износостойкость;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/bristol/
BUNNY;Toptextil;C (Basic);4.7;;750;100000;Антикоготь, Высокая износостойкость;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/bunny/
CASABLANCA;Toptextil;C (Basic);4.7;;310;100000;Антикоготь, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/casablanca/
